ID,Label,Gender
19875,Daniel Caltagirone,0
19876,Zelda Tinska,1
1328285,Sian Martin,1
7399,Ben Stiller,2
15286,Christine Taylor,1
23659,Will Ferrell,2
63,Milla Jovovich,1
26042,Jerry Stiller,2
12640,David Duchovny,2
52860,Judah Friedlander,2
203809,Nathan Lee Graham,0
1266372,Alexandre Manning,2
1548237,Asio Highsmith,0
28846,Alexander Skarsgård,2
33663,Donald Trump,2
2224,Christian Slater,2
120615,Tom Ford,2
9777,Cuba Gooding Jr.,2
77067,Steve Kmetko,2
77068,Tommy Hilfiger,0
524,Natalie Portman,1
77069,Lenny Kravitz,2
77070,Gwen Stefani,1
10584,Heidi Klum,1
77071,Mark Ronson,2
38406,Paris Hilton,1
7487,David Bowie,2
77072,Tyson Beckford,2
29783,Fred Durst,2
77073,Lance Bass,2
57553,Lil' Kim,1
52865,Garry Shandling,2
10822,Stephen Dorff,2
3664,Sandra Bernhard,1
33163,Claudia Schiffer,2
77074,Veronica Webb,1
526,Lukas Haas,2
588726,Carmen Kass,0
1548238,Frankie Rayder,0
175511,Matt Levin,2
15009,Justin Theroux,2
43120,Andy Dick,2
1548251,Woodrow Asai,0
71555,Andrew Wilson,2
153933,Vikram Chatwal,0
1548258,Kashana,0
1548259,Jonah Luber,0
1548260,Michael McAlpin,0
937052,Ève Salvail,0
213557,Shavo Odadjian,0
1548263,Eliot Johnson,0
1548264,Richard Gladys,0
26046,Amy Stiller,1
104505,John Vargas,2
38334,Jennifer Coolidge,1
181461,Tony Kanal,2
43461,Endre Hules,2
4496,Nora Dunn,1
1548268,Ric Pipino,0
15801,Jerry Stahl,2
174107,Jennifer McComb,1
101017,Johann Urb,2
1548269,Luc Commeret,0
1548270,Herb Lieberz,0
1548271,Zoya,0
1548272,Colin McNish,0
1548273,Darren Copeland,0
1548274,Richard Stanley,0
1548275,Shabazz Richardson,0
1548276,Rohan Quine,0
1548278,Svetlana,0
1025909,Eric Winzenreid,2
1548280,Charles Brame,0
11006,James Marsden,2
1548282,Rudy Segura,0
95825,Randall Slavin,2
10872,Patton Oswalt,2
69532,Irina Pantaeva,1
1548285,Stan Chu,0
1548286,Kum Ming Ho,0
1232610,Theo Kogan,1
1548287,Lam Bor,0
1548288,Angel 11:11,0
1232526,Luther Creek,0
106433,Dechen Thurman,0
1548289,Kenny Max,0
1548290,Kina,0
